LOCATION,TIME,Value
OECD,2019,78.56916301
OECD,2020,78.52580148
BEL,2006,57.5354
BEL,2007,67.1963
BEL,2008,70.0005
BEL,2009,71.1498
BEL,2010,76.7229
BEL,2011,78.8848
BEL,2012,80.3305
BEL,2013,81.8651
BEL,2015,82.0915
BEL,2017,85.1191
SWE,2006,82.4821
SWE,2007,82.8719
SWE,2008,87.0993
SWE,2009,87.5799
SWE,2010,89.5021
SWE,2011,91.5874
SWE,2012,92.2936
SWE,2013,91.8984
SWE,2015,88.25
SWE,2017,92.8164
GBR,2006,71.4986
GBR,2007,75.3778
GBR,2008,78.0062
GBR,2009,81.1916
GBR,2010,82.5671
GBR,2011,84.5598
GBR,2012,87.2189
GBR,2013,88.2038
GBR,2015,89.8955
GBR,2017,91.6684
NZL,2006,72
NZL,2009,80
NZL,2012,78
LVA,2006,40.648
LVA,2007,49.2205
LVA,2008,56.6547
LVA,2009,60.111
LVA,2010,62.7755
LVA,2011,64.3118
LVA,2012,69.5155
LVA,2013,71.7196
LVA,2015,76.1467
LVA,2017,77.3898
LTU,2006,39.8406
LTU,2007,46.2723
LTU,2008,52.0273
LTU,2009,57.344
LTU,2010,59.2287
LTU,2011,60.2072
LTU,2012,62.1365
LTU,2013,65.8774
LTU,2015,67.6401
LTU,2017,73.0092
COL,2008,13.12344786
COL,2009,14.93281006
COL,2010,19.23383476
COL,2011,23.35388017
COL,2012,38.51754906
COL,2013,42.17471877
COL,2014,44.4665857
COL,2015,45.5
COL,2016,45.20757813
COL,2018,41.60826519
COL,2019,37.1666571
COL,2021,37.8785221
CRI,2005,27
CRI,2006,28.19843139
CRI,2007,31.62
CRI,2008,34.429729
CRI,2009,38.00768838
CRI,2010,43.02952752
CRI,2011,47.16346917
CRI,2012,50.76078945
CRI,2013,52.61342006
CRI,2014,52.30559341
CRI,2015,53.16449879
CRI,2016,51.66615595
CRI,2017,51.02967609
CRI,2018,50.42008949
CRI,2019,49.93197779
CRI,2020,50.51957372
CRI,2021,52.82680577
BGR,2006,21.2542
BGR,2007,23.3274
BGR,2008,28.5963
BGR,2009,31.6638
BGR,2010,35.0702
BGR,2011,46.7838
BGR,2012,52.335
BGR,2013,54.8699
BGR,2015,59.0368
BGR,2017,62.9594
HRV,2007,49.4688
HRV,2008,52.9291
HRV,2009,54.7163
HRV,2010,60.0096
HRV,2011,64.0024
HRV,2012,68.0044
HRV,2013,66.2512
HRV,2015,76.7849
HRV,2017,74.0697
ROU,2006,25.9019
ROU,2007,33.9985
ROU,2008,37.8326
ROU,2009,45.6555
ROU,2010,47.8928
ROU,2011,51.1868
ROU,2012,56.7133
ROU,2013,61.2245
ROU,2015,68.692
ROU,2017,72.9994
EGY,2019,64.00000246
EGY,2020,70.2315027
